kode_provinsi,nama_provinsi,tahun,jenis_rabies,jumlah_kasus_rabies,orderer
31,"Prov. DKI Jakarta",2011,"VAR",0,2
31,"Prov. DKI Jakarta",2011,"LYSSA",0,3
31,"Prov. DKI Jakarta",2012,"GHPR",14,1
31,"Prov. DKI Jakarta",2012,"VAR",9,2
31,"Prov. DKI Jakarta",2012,"LYSSA",0,3
32,"Prov. Jawa Barat",2010,"GHPR",294,1
32,"Prov. Jawa Barat",2010,"VAR",183,2
32,"Prov. Jawa Barat",2010,"LYSSA",1,3
32,"Prov. Jawa Barat",2011,"GHPR",383,1
32,"Prov. Jawa Barat",2011,"VAR",174,2
32,"Prov. Jawa Barat",2011,"LYSSA",0,3
32,"Prov. Jawa Barat",2012,"GHPR",530,1
32,"Prov. Jawa Barat",2012,"VAR",192,2
32,"Prov. Jawa Barat",2012,"LYSSA",1,3
33,"Prov. Jawa Tengah",2010,"GHPR",0,1
33,"Prov. Jawa Tengah",2010,"VAR",0,2
33,"Prov. Jawa Tengah",2010,"LYSSA",0,3
33,"Prov. Jawa Tengah",2011,"GHPR",0,1
33,"Prov. Jawa Tengah",2011,"VAR",0,2
33,"Prov. Jawa Tengah",2011,"LYSSA",0,3
33,"Prov. Jawa Tengah",2012,"GHPR",0,1
33,"Prov. Jawa Tengah",2012,"VAR",0,2
33,"Prov. Jawa Tengah",2012,"LYSSA",0,3
34,"Prov. D I Yogyakarta",2010,"GHPR",0,1
34,"Prov. D I Yogyakarta",2010,"VAR",0,2
34,"Prov. D I Yogyakarta",2010,"LYSSA",0,3
34,"Prov. D I Yogyakarta",2011,"GHPR",0,1
34,"Prov. D I Yogyakarta",2011,"VAR",0,2
34,"Prov. D I Yogyakarta",2011,"LYSSA",0,3
34,"Prov. D I Yogyakarta",2012,"GHPR",0,1
34,"Prov. D I Yogyakarta",2012,"VAR",0,2
34,"Prov. D I Yogyakarta",2012,"LYSSA",0,3
35,"Prov. Jawa Timur",2010,"GHPR",0,1
35,"Prov. Jawa Timur",2010,"VAR",0,2
35,"Prov. Jawa Timur",2010,"LYSSA",0,3
35,"Prov. Jawa Timur",2011,"GHPR",0,1
35,"Prov. Jawa Timur",2011,"VAR",0,2
35,"Prov. Jawa Timur",2011,"LYSSA",0,3
35,"Prov. Jawa Timur",2012,"GHPR",0,1
35,"Prov. Jawa Timur",2012,"VAR",0,2
35,"Prov. Jawa Timur",2012,"LYSSA",0,3
36,"Prov. Banten",2010,"GHPR",119,1
36,"Prov. Banten",2010,"VAR",106,2
36,"Prov. Banten",2010,"LYSSA",0,3
36,"Prov. Banten",2011,"GHPR",30,1
36,"Prov. Banten",2011,"VAR",0,2
36,"Prov. Banten",2011,"LYSSA",0,3
36,"Prov. Banten",2012,"GHPR",0,1
36,"Prov. Banten",2012,"VAR",0,2
36,"Prov. Banten",2012,"LYSSA",0,3
51,"Prov. Bali",2010,"GHPR",60434,1
51,"Prov. Bali",2010,"VAR",52775,2
51,"Prov. Bali",2010,"LYSSA",82,3
51,"Prov. Bali",2011,"GHPR",52798,1
51,"Prov. Bali",2011,"VAR",49900,2
